#name (cmd = mergePeaks -d given S5P-1-peaks.txt S5P-2-peaks.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	S5P-1-peaks.txt	S5P-2-peaks.txt
Merged-chr4-13806764-1	chr4	13806608	13806920	+	21.200001	S5P-2-peaks.txt	1		chr4-1037
Merged-chr1-135919225-1	chr1	135919069	135919381	+	17.600000	S5P-2-peaks.txt	1		chr1-1191
Merged-chr1-168432556-1	chr1	168432400	168432712	+	17.400000	S5P-2-peaks.txt	1		chr1-1195
Merged-chr1-185336603-1	chr1	185336447	185336759	+	17.100000	S5P-2-peaks.txt	1		chr1-1197
Merged-chr1-8096986-1	chr1	8096830	8097142	+	17.600000	S5P-2-peaks.txt	1		chr1-1198
Merged-chr4-44065727-1	chr4	44065571	44065883	+	21.400000	S5P-2-peaks.txt	1		chr4-1060
Merged-chr4-118712494-1	chr4	118712338	118712650	+	21.400000	S5P-2-peaks.txt	1		chr4-1066
Merged-chr4-120268829-1	chr4	120268673	120268985	+	21.400000	S5P-2-peaks.txt	1		chr4-1067
Merged-chr4-138913887-1	chr4	138913731	138914043	+	21.700001	S5P-2-peaks.txt	1		chr4-1071
Merged-chr4-145306593-1	chr4	145306437	145306749	+	21.000000	S5P-2-peaks.txt	1		chr4-1074
Merged-chr4-150909759-1	chr4	150909603	150909915	+	21.400000	S5P-2-peaks.txt	1		chr4-1079
Merged-chr4-46664795-1	chr4	46664639	46664951	+	21.000000	S5P-2-peaks.txt	1		chr4-1080
Merged-chr4-140246494-1	chr4	140246338	140246650	+	20.700001	S5P-2-peaks.txt	1		chr4-1088
Merged-chr4-44234259-1	chr4	44234103	44234415	+	21.000000	S5P-2-peaks.txt	1		chr4-1094
Merged-chr2-27745730-1	chr2	27745574	27745886	+	12.500000	S5P-2-peaks.txt	1		chr2-2209
Merged-chr2-44525335-1	chr2	44525179	44525491	+	12.500000	S5P-2-peaks.txt	1		chr2-2216
Merged-chr2-52042555-1	chr2	52042399	52042711	+	12.500000	S5P-2-peaks.txt	1		chr2-2219
Merged-chr2-91115428-1	chr2	91115272	91115584	+	11.600000	S5P-2-peaks.txt	1		chr2-2283
Merged-chr2-93181266-1	chr2	93181110	93181422	+	11.800000	S5P-2-peaks.txt	1		chr2-2284
Merged-chr9-65162462-1	chr9	65162306	65162618	+	14.200000	S5P-2-peaks.txt	1		chr9-1400
Merged-chr9-77655313-1	chr9	77655157	77655469	+	13.700000	S5P-2-peaks.txt	1		chr9-1403
Merged-chr9-116174933-1	chr9	116174777	116175089	+	14.200000	S5P-2-peaks.txt	1		chr9-1413
Merged-chr9-13245773-1	chr9	13245617	13245929	+	13.300000	S5P-2-peaks.txt	1		chr9-1418
Merged-chr9-15434658-1	chr9	15434502	15434814	+	14.000000	S5P-2-peaks.txt	1		chr9-1419
Merged-chr9-18467707-1	chr9	18467551	18467863	+	14.200000	S5P-2-peaks.txt	1		chr9-1420
Merged-chr9-41218053-1	chr9	41217897	41218209	+	13.500000	S5P-2-peaks.txt	1		chr9-1428
Merged-chr9-107338278-1	chr9	107338122	107338434	+	13.500000	S5P-2-peaks.txt	1		chr9-1444
Merged-chr9-118926347-1	chr9	118926191	118926503	+	14.000000	S5P-2-peaks.txt	1		chr9-1447
Merged-chr9-13247127-1	chr9	13246971	13247283	+	13.700000	S5P-2-peaks.txt	1		chr9-1450
Merged-chr9-56548093-1	chr9	56547937	56548249	+	13.300000	S5P-2-peaks.txt	1		chr9-1458
Merged-chr9-99436784-1	chr9	99436628	99436940	+	13.300000	S5P-2-peaks.txt	1		chr9-1467
Merged-chr9-109176845-1	chr9	109176689	109177001	+	13.500000	S5P-2-peaks.txt	1		chr9-1468
Merged-chr9-118862709-1	chr9	118862553	118862865	+	13.500000	S5P-2-peaks.txt	1		chr9-1473
Merged-chr9-119093558-1	chr9	119093402	119093714	+	13.700000	S5P-2-peaks.txt	1		chr9-1474
Merged-chr9-121599989-1	chr9	121599833	121600145	+	13.500000	S5P-2-peaks.txt	1		chr9-1475
Merged-chr9-124264556-1	chr9	124264400	124264712	+	13.300000	S5P-2-peaks.txt	1		chr9-1476
Merged-chr9-6927504-1	chr9	6927348	6927660	+	13.500000	S5P-2-peaks.txt	1		chr9-1477
Merged-chr9-37255371-1	chr9	37255215	37255527	+	13.300000	S5P-2-peaks.txt	1		chr9-1486
Merged-chr5-20961053-1	chr5	20960897	20961209	+	16.600000	S5P-2-peaks.txt	1		chr5-1301
Merged-chr5-44101141-1	chr5	44100985	44101297	+	17.100000	S5P-2-peaks.txt	1		chr5-1309
Merged-chr9-66084712-1	chr9	66084556	66084868	+	13.500000	S5P-2-peaks.txt	1		chr9-1491
Merged-chr5-115429442-1	chr5	115429286	115429598	+	17.100000	S5P-2-peaks.txt	1		chr5-1336
Merged-chr5-124531562-1	chr5	124531406	124531718	+	17.400000	S5P-2-peaks.txt	1		chr5-1341
Merged-chr5-35790534-1	chr5	35790378	35790690	+	16.600000	S5P-2-peaks.txt	1		chr5-1349
Merged-chr5-117115918-1	chr5	117115762	117116074	+	17.400000	S5P-2-peaks.txt	1		chr5-1357
Merged-chr8-92004802-1	chr8	92004646	92004958	+	14.700000	S5P-2-peaks.txt	1		chr8-1201
Merged-chr5-129270266-1	chr5	129270110	129270422	+	16.600000	S5P-2-peaks.txt	1		chr5-1360
Merged-chr5-139686980-1	chr5	139686824	139687136	+	16.600000	S5P-2-peaks.txt	1		chr5-1362
Merged-chr5-22572642-1	chr5	22572486	22572798	+	16.100000	S5P-2-peaks.txt	1		chr5-1368
Merged-chr11-75461723-1	chr11	75461567	75461879	+	137.399994	S5P-2-peaks.txt	1		chr11-110
Merged-chr8-71476408-1	chr8	71476252	71476564	+	14.000000	S5P-2-peaks.txt	1		chr8-1214
Merged-chr5-108549928-1	chr5	108549772	108550084	+	15.700000	S5P-2-peaks.txt	1		chr5-1376
Merged-chr8-123117350-1	chr8	123117194	123117506	+	14.700000	S5P-2-peaks.txt	1		chr8-1227
Merged-chr8-124434464-1	chr8	124434308	124434620	+	14.900000	S5P-2-peaks.txt	1		chr8-1228
Merged-chr5-31596976-1	chr5	31596820	31597132	+	16.100000	S5P-2-peaks.txt	1		chr5-1386
Merged-chr8-19697633-1	chr8	19697477	19697789	+	13.700000	S5P-2-peaks.txt	1		chr8-1232
Merged-chr8-35826333-1	chr8	35826177	35826489	+	14.500000	S5P-2-peaks.txt	1		chr8-1235
Merged-chr8-43331861-1	chr8	43331705	43332017	+	14.000000	S5P-2-peaks.txt	1		chr8-1238
Merged-chr1-53581713-1	chr1	53581557	53581869	+	17.600000	S5P-2-peaks.txt	1		chr1-1202
Merged-chr5-111127322-1	chr5	111127166	111127478	+	17.100000	S5P-2-peaks.txt	1		chr5-1391
Merged-chr5-116446910-1	chr5	116446754	116447066	+	15.700000	S5P-2-peaks.txt	1		chr5-1393
Merged-chr5-118560062-1	chr5	118559906	118560218	+	15.700000	S5P-2-peaks.txt	1		chr5-1394
Merged-chr1-170589718-1	chr1	170589562	170589874	+	17.400000	S5P-2-peaks.txt	1		chr1-1218
Merged-chr8-92961241-1	chr8	92961085	92961397	+	14.500000	S5P-2-peaks.txt	1		chr8-1250
Merged-chr8-98772128-1	chr8	98771972	98772284	+	14.500000	S5P-2-peaks.txt	1		chr8-1251
Merged-chr8-106415477-1	chr8	106415321	106415633	+	14.500000	S5P-2-peaks.txt	1		chr8-1252
Merged-chr8-15011140-1	chr8	15010984	15011296	+	14.200000	S5P-2-peaks.txt	1		chr8-1276
Merged-chr8-25101945-1	chr8	25101789	25102101	+	13.500000	S5P-2-peaks.txt	1		chr8-1278
Merged-chr11-88139662-1	chr11	88139506	88139818	+	96.900002	S5P-2-peaks.txt	1		chr11-184
Merged-chr8-44920706-1	chr8	44920550	44920862	+	13.700000	S5P-2-peaks.txt	1		chr8-1283
Merged-chr4-123904669-1	chr4	123904513	123904825	+	21.200001	S5P-2-peaks.txt	1		chr4-1101
Merged-chr4-147333438-1	chr4	147333282	147333594	+	20.700001	S5P-2-peaks.txt	1		chr4-1105
Merged-chr4-155739807-1	chr4	155739651	155739963	+	20.500000	S5P-2-peaks.txt	1		chr4-1106
Merged-chr8-94532755-1	chr8	94532599	94532911	+	14.200000	S5P-2-peaks.txt	1		chr8-1290
Merged-chr8-127126425-1	chr8	127126269	127126581	+	14.200000	S5P-2-peaks.txt	1		chr8-1298
Merged-chr1-185479289-1	chr1	185479133	185479445	+	16.900000	S5P-2-peaks.txt	1		chr1-1261
Merged-chr1-10009234-1	chr1	10009078	10009390	+	16.600000	S5P-2-peaks.txt	1		chr1-1265
Merged-chr1-12691825-1	chr1	12691669	12691981	+	16.600000	S5P-2-peaks.txt	1		chr1-1266
Merged-chr1-69687591-1	chr1	69687435	69687747	+	16.900000	S5P-2-peaks.txt	1		chr1-1274
Merged-chr1-80758500-1	chr1	80758344	80758656	+	16.900000	S5P-2-peaks.txt	1		chr1-1277
Merged-chr4-107434871-1	chr4	107434715	107435027	+	20.700001	S5P-2-peaks.txt	1		chr4-1123
Merged-chr1-195092266-1	chr1	195092110	195092422	+	16.400000	S5P-2-peaks.txt	1		chr1-1286
Merged-chr4-155150812-1	chr4	155150656	155150968	+	20.700001	S5P-2-peaks.txt	1		chr4-1131
Merged-chr1-23762249-1	chr1	23762093	23762405	+	15.400000	S5P-2-peaks.txt	1		chr1-1290
Merged-chr1-130246534-1	chr1	130246378	130246690	+	15.400000	S5P-2-peaks.txt	1		chr1-1298
Merged-chr4-20008630-1	chr4	20008474	20008786	+	19.799999	S5P-2-peaks.txt	1		chr4-1156
Merged-chr7-81706603-1	chr7	81706447	81706759	+	22.700001	S5P-2-peaks.txt	1		chr7-1000
Merged-chr7-35531268-1	chr7	35531112	35531424	+	23.600000	S5P-2-peaks.txt	1		chr7-1006
Merged-chr4-124825017-1	chr4	124824861	124825173	+	20.200001	S5P-2-peaks.txt	1		chr4-1161
Merged-chr4-132048946-1	chr4	132048790	132049102	+	19.000000	S5P-2-peaks.txt	1		chr4-1164
Merged-chr7-4312752-1	chr7	4312596	4312908	+	22.200001	S5P-2-peaks.txt	1		chr7-1012
Merged-chr7-64502109-1	chr7	64501953	64502265	+	23.900000	S5P-2-peaks.txt	1		chr7-1017
Merged-chr7-66839791-1	chr7	66839635	66839947	+	23.100000	S5P-2-peaks.txt	1		chr7-1018
Merged-chr4-6990280-1	chr4	6990124	6990436	+	20.000000	S5P-2-peaks.txt	1		chr4-1171
Merged-chr4-35225739-1	chr4	35225583	35225895	+	19.500000	S5P-2-peaks.txt	1		chr4-1172
Merged-chr4-117495394-1	chr4	117495238	117495550	+	19.799999	S5P-2-peaks.txt	1		chr4-1179
Merged-chr7-3474706-1	chr7	3474550	3474862	+	23.100000	S5P-2-peaks.txt	1		chr7-1025
Merged-chr4-146167485-1	chr4	146167329	146167641	+	19.000000	S5P-2-peaks.txt	1		chr4-1183
Merged-chr4-150880436-1	chr4	150880280	150880592	+	18.799999	S5P-2-peaks.txt	1		chr4-1185
Merged-chr4-129251490-1	chr4	129251334	129251646	+	19.500000	S5P-2-peaks.txt	1		chr4-1189
Merged-chr4-133879341-1	chr4	133879185	133879497	+	19.299999	S5P-2-peaks.txt	1		chr4-1191
Merged-chr4-144824686-1	chr4	144824530	144824842	+	20.000000	S5P-2-peaks.txt	1		chr4-1193
Merged-chr4-33824262-1	chr4	33824106	33824418	+	19.000000	S5P-2-peaks.txt	1		chr4-1195
Merged-chr7-70281108-1	chr7	70280952	70281264	+	22.700001	S5P-2-peaks.txt	1		chr7-1045
Merged-chr7-79535682-1	chr7	79535526	79535838	+	22.900000	S5P-2-peaks.txt	1		chr7-1047
Merged-chr7-101838425-1	chr7	101838269	101838581	+	22.700001	S5P-2-peaks.txt	1		chr7-1049
Merged-chr7-126976507-1	chr7	126976351	126976663	+	22.900000	S5P-2-peaks.txt	1		chr7-1051
Merged-chr7-19604420-1	chr7	19604264	19604576	+	22.700001	S5P-2-peaks.txt	1		chr7-1056
Merged-chr7-25219745-1	chr7	25219589	25219901	+	23.400000	S5P-2-peaks.txt	1		chr7-1057
Merged-chr7-28161753-1	chr7	28161597	28161909	+	22.200001	S5P-2-peaks.txt	1		chr7-1058
Merged-chr13-51100625-1	chr13	51100469	51100781	+	88.199997	S5P-2-peaks.txt	1		chr13-116
Merged-chr7-128418530-1	chr7	128418374	128418686	+	22.400000	S5P-2-peaks.txt	1		chr7-1065
Merged-chr7-4546967-1	chr7	4546811	4547123	+	22.200001	S5P-2-peaks.txt	1		chr7-1067
Merged-chr7-12897886-1	chr7	12897730	12898042	+	21.900000	S5P-2-peaks.txt	1		chr7-1068
Merged-chr7-96153036-1	chr7	96152880	96153192	+	22.200001	S5P-2-peaks.txt	1		chr7-1073
Merged-chr7-143606846-1	chr7	143606690	143607002	+	22.200001	S5P-2-peaks.txt	1		chr7-1077
Merged-chr7-16885939-1	chr7	16885783	16886095	+	21.900000	S5P-2-peaks.txt	1		chr7-1078
Merged-chr7-19741992-1	chr7	19741836	19742148	+	21.700001	S5P-2-peaks.txt	1		chr7-1079
Merged-chr13-63980408-1	chr13	63980252	63980564	+	73.300003	S5P-2-peaks.txt	1		chr13-136
Merged-chr7-142141080-1	chr7	142140924	142141236	+	21.700001	S5P-2-peaks.txt	1		chr7-1094
Merged-chr7-26781080-1	chr7	26780924	26781236	+	21.700001	S5P-2-peaks.txt	1		chr7-1098
Merged-chr13-55330323-1	chr13	55330167	55330479	+	67.500000	S5P-2-peaks.txt	1		chr13-154
Merged-chr13-93192100-1	chr13	93191944	93192256	+	67.000000	S5P-2-peaks.txt	1		chr13-157
Merged-chr9-78520782-1	chr9	78520626	78520938	+	196.199997	S5P-2-peaks.txt	1		chr9-25
Merged-chr9-90114564-1	chr9	90114408	90114720	+	112.099998	S5P-2-peaks.txt	1		chr9-91
Merged-chr9-44419446-1	chr9	44419290	44419602	+	113.300003	S5P-2-peaks.txt	1		chr9-92
Merged-chr15-81871820-1	chr15	81871664	81871976	+	80.000000	S5P-2-peaks.txt	1		chr15-111
Merged-chr15-59082343-1	chr15	59082187	59082499	+	80.500000	S5P-2-peaks.txt	1		chr15-114
Merged-chr2-67565741-1	chr2	67565585	67565897	+	11.600000	S5P-2-peaks.txt	1		chr2-2341
Merged-chr15-51991667-1	chr15	51991511	51991823	+	72.099998	S5P-2-peaks.txt	1		chr15-132
Merged-chr15-82146598-1	chr15	82146442	82146754	+	69.199997	S5P-2-peaks.txt	1		chr15-134
Merged-chr2-148395827-1	chr2	148395671	148395983	+	11.800000	S5P-2-peaks.txt	1		chr2-2361
Merged-chr15-55877568-1	chr15	55877412	55877724	+	65.099998	S5P-2-peaks.txt	1		chr15-151
Merged-chr2-166683926-1	chr2	166683770	166684082	+	11.600000	S5P-2-peaks.txt	1		chr2-2374
Merged-chr2-175067713-1	chr2	175067557	175067869	+	12.000000	S5P-2-peaks.txt	1		chr2-2378
Merged-chr2-19452212-1	chr2	19452056	19452368	+	11.600000	S5P-2-peaks.txt	1		chr2-2384
Merged-chr2-22007536-1	chr2	22007380	22007692	+	12.000000	S5P-2-peaks.txt	1		chr2-2386
Merged-chr15-76351003-1	chr15	76350847	76351159	+	60.500000	S5P-2-peaks.txt	1		chr15-174
Merged-chr2-26091603-1	chr2	26091447	26091759	+	11.600000	S5P-2-peaks.txt	1		chr2-2390
Merged-chr2-32395730-1	chr2	32395574	32395886	+	11.600000	S5P-2-peaks.txt	1		chr2-2398
Merged-chr5-134945610-1	chr5	134945454	134945766	+	210.899994	S5P-2-peaks.txt	1		chr5-17
Merged-chr9-114368351-1	chr9	114368195	114368507	+	13.300000	S5P-2-peaks.txt	1		chr9-1505
Merged-chr9-21988911-1	chr9	21988755	21989067	+	12.800000	S5P-2-peaks.txt	1		chr9-1513
Merged-chr9-68653581-1	chr9	68653425	68653737	+	13.300000	S5P-2-peaks.txt	1		chr9-1524
Merged-chr9-89067040-1	chr9	89066884	89067196	+	13.500000	S5P-2-peaks.txt	1		chr9-1527
Merged-chr5-146261161-1	chr5	146261005	146261317	+	128.000000	S5P-2-peaks.txt	1		chr5-68
Merged-chr9-48922927-1	chr9	48922771	48923083	+	13.000000	S5P-2-peaks.txt	1		chr9-1548
Merged-chr5-90366170-1	chr5	90366014	90366326	+	114.000000	S5P-2-peaks.txt	1		chr5-75
Merged-chr9-66069654-1	chr9	66069498	66069810	+	12.500000	S5P-2-peaks.txt	1		chr9-1555
Merged-chr9-70141277-1	chr9	70141121	70141433	+	12.500000	S5P-2-peaks.txt	1		chr9-1556
Merged-chr9-81863804-1	chr9	81863648	81863960	+	13.000000	S5P-2-peaks.txt	1		chr9-1558
Merged-chr5-110810000-1	chr5	110809844	110810156	+	105.800003	S5P-2-peaks.txt	1		chr5-95
Merged-chr17-88440841-1	chr17	88440685	88440997	+	85.099998	S5P-2-peaks.txt	1		chr17-110
Merged-chr17-53561379-1	chr17	53561223	53561535	+	85.099998	S5P-2-peaks.txt	1		chr17-112
Merged-chr17-56584502-1	chr17	56584346	56584658	+	86.800003	S5P-2-peaks.txt	1		chr17-113
Merged-chr9-37090500-1	chr9	37090344	37090656	+	12.500000	S5P-2-peaks.txt	1		chr9-1584
Merged-chr9-42124075-1	chr9	42123919	42124231	+	12.500000	S5P-2-peaks.txt	1		chr9-1586
Merged-chr9-44454720-1	chr9	44454564	44454876	+	12.300000	S5P-2-peaks.txt	1		chr9-1587
Merged-chr5-17574747-1	chr5	17574591	17574903	+	16.400000	S5P-2-peaks.txt	1		chr5-1402
Merged-chr9-87015557-1	chr9	87015401	87015713	+	12.500000	S5P-2-peaks.txt	1		chr9-1599
Merged-chr17-28895275-1	chr17	28895119	28895431	+	75.400002	S5P-2-peaks.txt	1		chr17-137
Merged-chr5-118413721-1	chr5	118413565	118413877	+	15.900000	S5P-2-peaks.txt	1		chr5-1422
Merged-chr5-137287340-1	chr5	137287184	137287496	+	15.700000	S5P-2-peaks.txt	1		chr5-1429
Merged-chr5-137684627-1	chr5	137684471	137684783	+	15.700000	S5P-2-peaks.txt	1		chr5-1431
Merged-chr17-72836759-1	chr17	72836603	72836915	+	74.199997	S5P-2-peaks.txt	1		chr17-151
Merged-chr17-83668043-1	chr17	83667887	83668199	+	72.099998	S5P-2-peaks.txt	1		chr17-159
Merged-chr5-75084220-1	chr5	75084064	75084376	+	15.400000	S5P-2-peaks.txt	1		chr5-1442
Merged-chr5-125178344-1	chr5	125178188	125178500	+	15.900000	S5P-2-peaks.txt	1		chr5-1452
Merged-chr5-135537866-1	chr5	135537710	135538022	+	15.400000	S5P-2-peaks.txt	1		chr5-1453
Merged-chr5-140749376-1	chr5	140749220	140749532	+	15.200000	S5P-2-peaks.txt	1		chr5-1455
Merged-chr8-5398903-1	chr8	5398747	5399059	+	14.000000	S5P-2-peaks.txt	1		chr8-1300
Merged-chr8-36156200-1	chr8	36156044	36156356	+	13.700000	S5P-2-peaks.txt	1		chr8-1307
Merged-chr8-61928124-1	chr8	61927968	61928280	+	14.000000	S5P-2-peaks.txt	1		chr8-1309
Merged-chr5-25100023-1	chr5	25099867	25100179	+	15.400000	S5P-2-peaks.txt	1		chr5-1461
Merged-chr8-68420478-1	chr8	68420322	68420634	+	14.000000	S5P-2-peaks.txt	1		chr8-1310
Merged-chr8-69271165-1	chr8	69271009	69271321	+	13.500000	S5P-2-peaks.txt	1		chr8-1311
