#name (cmd = mergePeaks -d given K27m3-1-peaks.txt K27m3-2-peaks.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	K27m3-1-peaks.txt	K27m3-2-peaks.txt
Merged-chr9-90269942-1	chr9	90269789	90270095	+	8.670000	K27m3-2-peaks.txt	1		chr9-1367
Merged-chr9-57654699-1	chr9	57654546	57654852	+	11.800000	K27m3-2-peaks.txt	1		chr9-963
Merged-chr9-96526210-1	chr9	96526057	96526363	+	8.670000	K27m3-2-peaks.txt	1		chr9-1373
Merged-chr9-98803807-1	chr9	98803654	98803960	+	9.910000	K27m3-2-peaks.txt	1		chr9-1375
Merged-chr5-21371547-1	chr5	21371394	21371700	+	11.200000	K27m3-2-peaks.txt	1		chr5-1202
Merged-chr9-88241060-1	chr9	88240907	88241213	+	11.800000	K27m3-2-peaks.txt	1		chr9-980
Merged-chr5-25495941-1	chr5	25495788	25496094	+	11.200000	K27m3-2-peaks.txt	1		chr5-1205
Merged-chr5-30948859-1	chr5	30948706	30949012	+	10.500000	K27m3-2-peaks.txt	1		chr5-1206
Merged-chr9-105827198-1	chr9	105827045	105827351	+	13.000000	K27m3-2-peaks.txt	1		chr9-988
Merged-chr9-118151775-1	chr9	118151622	118151928	+	9.290000	K27m3-2-peaks.txt	1		chr9-1390
Merged-chr9-107341407-1	chr9	107341254	107341560	+	11.200000	K27m3-2-peaks.txt	1		chr9-990
Merged-chr9-108451589-1	chr9	108451436	108451742	+	11.200000	K27m3-2-peaks.txt	1		chr9-994
Merged-chr5-89527295-1	chr5	89527142	89527448	+	11.200000	K27m3-2-peaks.txt	1		chr5-1232
Merged-chr5-92041975-1	chr5	92041822	92042128	+	10.500000	K27m3-2-peaks.txt	1		chr5-1233
Merged-chr5-93124987-1	chr5	93124834	93125140	+	10.500000	K27m3-2-peaks.txt	1		chr5-1234
Merged-chr5-117447137-1	chr5	117446984	117447290	+	10.500000	K27m3-2-peaks.txt	1		chr5-1248
Merged-chr5-119773290-1	chr5	119773137	119773443	+	10.500000	K27m3-2-peaks.txt	1		chr5-1254
Merged-chr5-119787320-1	chr5	119787167	119787473	+	11.200000	K27m3-2-peaks.txt	1		chr5-1255
Merged-chr5-120991365-1	chr5	120991212	120991518	+	9.910000	K27m3-2-peaks.txt	1		chr5-1258
Merged-chr5-123395168-1	chr5	123395015	123395321	+	10.500000	K27m3-2-peaks.txt	1		chr5-1259
Merged-chr8-120308520-1	chr8	120308367	120308673	+	10.500000	K27m3-2-peaks.txt	1		chr8-1101
Merged-chr8-123353713-1	chr8	123353560	123353866	+	9.910000	K27m3-2-peaks.txt	1		chr8-1103
Merged-chr8-124232926-1	chr8	124232773	124233079	+	10.500000	K27m3-2-peaks.txt	1		chr8-1109
Merged-chr5-124530286-1	chr5	124530133	124530439	+	10.500000	K27m3-2-peaks.txt	1		chr5-1262
Merged-chr8-125963429-1	chr8	125963276	125963582	+	9.910000	K27m3-2-peaks.txt	1		chr8-1115
Merged-chr5-135393485-1	chr5	135393332	135393638	+	11.200000	K27m3-2-peaks.txt	1		chr5-1270
Merged-chr5-149006026-1	chr5	149005873	149006179	+	11.200000	K27m3-2-peaks.txt	1		chr5-1289
Merged-chr8-33508194-1	chr8	33508041	33508347	+	8.670000	K27m3-2-peaks.txt	1		chr8-1133
Merged-chr8-34178776-1	chr8	34178623	34178929	+	9.910000	K27m3-2-peaks.txt	1		chr8-1134
Merged-chr8-35709244-1	chr8	35709091	35709397	+	9.290000	K27m3-2-peaks.txt	1		chr8-1137
Merged-chr8-48097036-1	chr8	48096883	48097189	+	9.290000	K27m3-2-peaks.txt	1		chr8-1143
Merged-chr1-4689650-1	chr1	4689497	4689803	+	10.500000	K27m3-2-peaks.txt	1		chr1-1116
Merged-chr8-70073585-1	chr8	70073432	70073738	+	9.290000	K27m3-2-peaks.txt	1		chr8-1153
Merged-chr8-70622459-1	chr8	70622306	70622612	+	9.290000	K27m3-2-peaks.txt	1		chr8-1155
Merged-chr8-70842569-1	chr8	70842416	70842722	+	9.910000	K27m3-2-peaks.txt	1		chr8-1156
Merged-chr1-11415849-1	chr1	11415696	11416002	+	9.910000	K27m3-2-peaks.txt	1		chr1-1120
Merged-chr1-14309028-1	chr1	14308875	14309181	+	9.910000	K27m3-2-peaks.txt	1		chr1-1123
Merged-chr1-34928921-1	chr1	34928768	34929074	+	11.200000	K27m3-2-peaks.txt	1		chr1-1125
Merged-chr1-35749104-1	chr1	35748951	35749257	+	9.910000	K27m3-2-peaks.txt	1		chr1-1126
Merged-chr1-58652748-1	chr1	58652595	58652901	+	9.910000	K27m3-2-peaks.txt	1		chr1-1133
Merged-chr1-72576711-1	chr1	72576558	72576864	+	10.500000	K27m3-2-peaks.txt	1		chr1-1135
Merged-chr8-86747729-1	chr8	86747576	86747882	+	9.290000	K27m3-2-peaks.txt	1		chr8-1173
Merged-chr1-79670496-1	chr1	79670343	79670649	+	9.910000	K27m3-2-peaks.txt	1		chr1-1145
Merged-chr8-104394355-1	chr8	104394202	104394508	+	8.670000	K27m3-2-peaks.txt	1		chr8-1182
Merged-chr8-106408999-1	chr8	106408846	106409152	+	9.290000	K27m3-2-peaks.txt	1		chr8-1188
Merged-chr1-99772923-1	chr1	99772770	99773076	+	9.910000	K27m3-2-peaks.txt	1		chr1-1154
Merged-chr8-110252924-1	chr8	110252771	110253077	+	9.290000	K27m3-2-peaks.txt	1		chr8-1193
Merged-chr1-134699750-1	chr1	134699597	134699903	+	9.910000	K27m3-2-peaks.txt	1		chr1-1168
Merged-chr1-135160427-1	chr1	135160274	135160580	+	9.290000	K27m3-2-peaks.txt	1		chr1-1169
Merged-chr4-120855860-1	chr4	120855707	120856013	+	12.400000	K27m3-2-peaks.txt	1		chr4-1010
Merged-chr4-128222155-1	chr4	128222002	128222308	+	12.400000	K27m3-2-peaks.txt	1		chr4-1015
Merged-chr4-137579117-1	chr4	137578964	137579270	+	13.000000	K27m3-2-peaks.txt	1		chr4-1026
Merged-chr4-140039997-1	chr4	140039844	140040150	+	13.000000	K27m3-2-peaks.txt	1		chr4-1029
Merged-chr1-166284559-1	chr1	166284406	166284712	+	9.910000	K27m3-2-peaks.txt	1		chr1-1186
Merged-chr4-143390056-1	chr4	143389903	143390209	+	13.600000	K27m3-2-peaks.txt	1		chr4-1033
Merged-chr4-145838879-1	chr4	145838726	145839032	+	14.900000	K27m3-2-peaks.txt	1		chr4-1035
Merged-chr4-151043759-1	chr4	151043606	151043912	+	11.200000	K27m3-2-peaks.txt	1		chr4-1037
Merged-chr1-174920481-1	chr1	174920328	174920634	+	9.910000	K27m3-2-peaks.txt	1		chr1-1192
Merged-chr1-180366278-1	chr1	180366125	180366431	+	9.910000	K27m3-2-peaks.txt	1		chr1-1198
Merged-chr1-180779069-1	chr1	180778916	180779222	+	10.500000	K27m3-2-peaks.txt	1		chr1-1199
Merged-chr4-155150311-1	chr4	155150158	155150464	+	13.000000	K27m3-2-peaks.txt	1		chr4-1043
Merged-chr4-155785399-1	chr4	155785246	155785552	+	13.000000	K27m3-2-peaks.txt	1		chr4-1044
Merged-chr4-9830493-1	chr4	9830340	9830646	+	12.400000	K27m3-2-peaks.txt	1		chr4-1046
Merged-chr4-10930000-1	chr4	10929847	10930153	+	13.000000	K27m3-2-peaks.txt	1		chr4-1047
Merged-chr4-45672019-1	chr4	45671866	45672172	+	11.800000	K27m3-2-peaks.txt	1		chr4-1058
Merged-chr4-107254761-1	chr4	107254608	107254914	+	13.000000	K27m3-2-peaks.txt	1		chr4-1072
Merged-chr4-122983093-1	chr4	122982940	122983246	+	13.000000	K27m3-2-peaks.txt	1		chr4-1082
Merged-chr4-126149084-1	chr4	126148931	126149237	+	12.400000	K27m3-2-peaks.txt	1		chr4-1088
Merged-chr4-134455158-1	chr4	134455005	134455311	+	13.600000	K27m3-2-peaks.txt	1		chr4-1098
Merged-chr2-172699412-1	chr2	172699259	172699565	+	9.910000	K27m3-2-peaks.txt	1		chr2-2217
Merged-chr2-174852797-1	chr2	174852644	174852950	+	9.290000	K27m3-2-peaks.txt	1		chr2-2228
Merged-chr2-10141915-1	chr2	10141762	10142068	+	7.440000	K27m3-2-peaks.txt	1		chr2-2237
Merged-chr2-10825088-1	chr2	10824935	10825241	+	8.670000	K27m3-2-peaks.txt	1		chr2-2239
Merged-chr2-24416952-1	chr2	24416799	24417105	+	7.440000	K27m3-2-peaks.txt	1		chr2-2244
Merged-chr2-25054864-1	chr2	25054711	25055017	+	8.060000	K27m3-2-peaks.txt	1		chr2-2245
Merged-chr2-26869659-1	chr2	26869506	26869812	+	8.060000	K27m3-2-peaks.txt	1		chr2-2248
Merged-chr2-29887681-1	chr2	29887528	29887834	+	8.670000	K27m3-2-peaks.txt	1		chr2-2256
Merged-chr2-51148160-1	chr2	51148007	51148313	+	8.670000	K27m3-2-peaks.txt	1		chr2-2291
Merged-chr9-4977914-1	chr9	4977761	4978067	+	8.670000	K27m3-2-peaks.txt	1		chr9-1401
Merged-chr9-7761592-1	chr9	7761439	7761745	+	8.670000	K27m3-2-peaks.txt	1		chr9-1402
Merged-chr9-46013142-1	chr9	46012989	46013295	+	8.670000	K27m3-2-peaks.txt	1		chr9-1441
Merged-chr9-66278007-1	chr9	66277854	66278160	+	9.910000	K27m3-2-peaks.txt	1		chr9-1481
Merged-chr9-70864828-1	chr9	70864675	70864981	+	9.290000	K27m3-2-peaks.txt	1		chr9-1483
Merged-chr9-71725929-1	chr9	71725776	71726082	+	8.670000	K27m3-2-peaks.txt	1		chr9-1485
Merged-chr9-73174860-1	chr9	73174707	73175013	+	8.060000	K27m3-2-peaks.txt	1		chr9-1486
Merged-chr9-73176158-1	chr9	73176005	73176311	+	8.060000	K27m3-2-peaks.txt	1		chr9-1487
Merged-chr5-30774475-1	chr5	30774322	30774628	+	9.910000	K27m3-2-peaks.txt	1		chr5-1303
Merged-chr9-87707883-1	chr9	87707730	87708036	+	8.060000	K27m3-2-peaks.txt	1		chr9-1494
Merged-chr5-90588368-1	chr5	90588215	90588521	+	9.910000	K27m3-2-peaks.txt	1		chr5-1328
Merged-chr5-92649806-1	chr5	92649653	92649959	+	9.910000	K27m3-2-peaks.txt	1		chr5-1329
Merged-chr5-93091314-1	chr5	93091161	93091467	+	11.200000	K27m3-2-peaks.txt	1		chr5-1330
Merged-chr5-110386868-1	chr5	110386715	110387021	+	10.500000	K27m3-2-peaks.txt	1		chr5-1335
Merged-chr5-115507824-1	chr5	115507671	115507977	+	11.200000	K27m3-2-peaks.txt	1		chr5-1348
Merged-chr5-117331675-1	chr5	117331522	117331828	+	9.910000	K27m3-2-peaks.txt	1		chr5-1350
Merged-chr5-125398388-1	chr5	125398235	125398541	+	10.500000	K27m3-2-peaks.txt	1		chr5-1361
Merged-chr11-120236687-1	chr11	120236534	120236840	+	65.099998	K27m3-2-peaks.txt	1		chr11-111
Merged-chr8-124772686-1	chr8	124772533	124772839	+	9.290000	K27m3-2-peaks.txt	1		chr8-1214
Merged-chr8-3220050-1	chr8	3219897	3220203	+	9.290000	K27m3-2-peaks.txt	1		chr8-1216
Merged-chr8-3630087-1	chr8	3629934	3630240	+	8.060000	K27m3-2-peaks.txt	1		chr8-1218
Merged-chr11-59307669-1	chr11	59307516	59307822	+	57.599998	K27m3-2-peaks.txt	1		chr11-132
Merged-chr11-72135980-1	chr11	72135827	72136133	+	57.599998	K27m3-2-peaks.txt	1		chr11-133
Merged-chr1-181769051-1	chr1	181768898	181769204	+	10.500000	K27m3-2-peaks.txt	1		chr1-1200
Merged-chr1-191985941-1	chr1	191985788	191986094	+	10.500000	K27m3-2-peaks.txt	1		chr1-1204
Merged-chr1-13375487-1	chr1	13375334	13375640	+	8.670000	K27m3-2-peaks.txt	1		chr1-1209
Merged-chr5-23673988-1	chr5	23673835	23674141	+	9.290000	K27m3-2-peaks.txt	1		chr5-1398
Merged-chr8-26170197-1	chr8	26170044	26170350	+	8.670000	K27m3-2-peaks.txt	1		chr8-1246
Merged-chr8-27022473-1	chr8	27022320	27022626	+	8.060000	K27m3-2-peaks.txt	1		chr8-1248
Merged-chr8-27122140-1	chr8	27121987	27122293	+	8.670000	K27m3-2-peaks.txt	1		chr8-1249
Merged-chr1-16618302-1	chr1	16618149	16618455	+	9.290000	K27m3-2-peaks.txt	1		chr1-1212
Merged-chr1-20892067-1	chr1	20891914	20892220	+	9.290000	K27m3-2-peaks.txt	1		chr1-1213
Merged-chr1-34634876-1	chr1	34634723	34635029	+	10.500000	K27m3-2-peaks.txt	1		chr1-1216
Merged-chr8-34795615-1	chr8	34795462	34795768	+	8.670000	K27m3-2-peaks.txt	1		chr8-1253
Merged-chr1-44553080-1	chr1	44552927	44553233	+	9.290000	K27m3-2-peaks.txt	1		chr1-1225
Merged-chr1-62397573-1	chr1	62397420	62397726	+	9.910000	K27m3-2-peaks.txt	1		chr1-1229
Merged-chr1-66862167-1	chr1	66862014	66862320	+	10.500000	K27m3-2-peaks.txt	1		chr1-1232
Merged-chr8-69585883-1	chr8	69585730	69586036	+	8.060000	K27m3-2-peaks.txt	1		chr8-1279
Merged-chr1-87851626-1	chr1	87851473	87851779	+	9.910000	K27m3-2-peaks.txt	1		chr1-1248
Merged-chr1-90972609-1	chr1	90972456	90972762	+	9.910000	K27m3-2-peaks.txt	1		chr1-1253
Merged-chr4-137863930-1	chr4	137863777	137864083	+	12.400000	K27m3-2-peaks.txt	1		chr4-1104
Merged-chr4-139311687-1	chr4	139311534	139311840	+	12.400000	K27m3-2-peaks.txt	1		chr4-1105
Merged-chr4-141410391-1	chr4	141410238	141410544	+	13.000000	K27m3-2-peaks.txt	1		chr4-1108
Merged-chr8-76035057-1	chr8	76034904	76035210	+	8.060000	K27m3-2-peaks.txt	1		chr8-1290
Merged-chr8-84201535-1	chr8	84201382	84201688	+	8.060000	K27m3-2-peaks.txt	1		chr8-1294
Merged-chr8-84202536-1	chr8	84202383	84202689	+	7.440000	K27m3-2-peaks.txt	1		chr8-1295
Merged-chr4-149857029-1	chr4	149856876	149857182	+	11.800000	K27m3-2-peaks.txt	1		chr4-1118
Merged-chr4-152085439-1	chr4	152085286	152085592	+	13.000000	K27m3-2-peaks.txt	1		chr4-1119
Merged-chr4-6454794-1	chr4	6454641	6454947	+	12.400000	K27m3-2-peaks.txt	1		chr4-1122
Merged-chr4-57154467-1	chr4	57154314	57154620	+	11.800000	K27m3-2-peaks.txt	1		chr4-1131
Merged-chr4-88804572-1	chr4	88804419	88804725	+	13.000000	K27m3-2-peaks.txt	1		chr4-1140
Merged-chr4-103839492-1	chr4	103839339	103839645	+	11.800000	K27m3-2-peaks.txt	1		chr4-1144
Merged-chr4-123071145-1	chr4	123070992	123071298	+	13.000000	K27m3-2-peaks.txt	1		chr4-1154
Merged-chr7-18893319-1	chr7	18893166	18893472	+	11.800000	K27m3-2-peaks.txt	1		chr7-1006
Merged-chr7-19561186-1	chr7	19561033	19561339	+	13.000000	K27m3-2-peaks.txt	1		chr7-1007
Merged-chr7-24448511-1	chr7	24448358	24448664	+	13.600000	K27m3-2-peaks.txt	1		chr7-1008
Merged-chr7-25703968-1	chr7	25703815	25704121	+	11.800000	K27m3-2-peaks.txt	1		chr7-1011
Merged-chr7-27685481-1	chr7	27685328	27685634	+	11.800000	K27m3-2-peaks.txt	1		chr7-1013
Merged-chr7-30873717-1	chr7	30873564	30873870	+	12.400000	K27m3-2-peaks.txt	1		chr7-1015
Merged-chr7-39445331-1	chr7	39445178	39445484	+	12.400000	K27m3-2-peaks.txt	1		chr7-1018
Merged-chr4-135274933-1	chr4	135274780	135275086	+	12.400000	K27m3-2-peaks.txt	1		chr4-1170
Merged-chr4-136906083-1	chr4	136905930	136906236	+	11.800000	K27m3-2-peaks.txt	1		chr4-1173
Merged-chr4-137708241-1	chr4	137708088	137708394	+	11.800000	K27m3-2-peaks.txt	1		chr4-1175
Merged-chr4-138677141-1	chr4	138676988	138677294	+	11.800000	K27m3-2-peaks.txt	1		chr4-1176
Merged-chr4-154802666-1	chr4	154802513	154802819	+	13.000000	K27m3-2-peaks.txt	1		chr4-1194
Merged-chr7-102269571-1	chr7	102269418	102269724	+	13.600000	K27m3-2-peaks.txt	1		chr7-1040
Merged-chr7-142228829-1	chr7	142228676	142228982	+	13.000000	K27m3-2-peaks.txt	1		chr7-1054
Merged-chr7-142644356-1	chr7	142644203	142644509	+	13.600000	K27m3-2-peaks.txt	1		chr7-1055
Merged-chr13-48262210-1	chr13	48262057	48262363	+	44.000000	K27m3-2-peaks.txt	1		chr13-114
Merged-chr7-24585138-1	chr7	24584985	24585291	+	13.000000	K27m3-2-peaks.txt	1		chr7-1069
Merged-chr13-25056264-1	chr13	25056111	25056417	+	42.799999	K27m3-2-peaks.txt	1		chr13-129
Merged-chr7-29072408-1	chr7	29072255	29072561	+	11.800000	K27m3-2-peaks.txt	1		chr7-1072
Merged-chr7-45759502-1	chr7	45759349	45759655	+	11.200000	K27m3-2-peaks.txt	1		chr7-1083
Merged-chr13-76056025-1	chr13	76055872	76056178	+	40.900002	K27m3-2-peaks.txt	1		chr13-145
Merged-chr13-92131427-1	chr13	92131274	92131580	+	35.299999	K27m3-2-peaks.txt	1		chr13-161
Merged-chr13-95222794-1	chr13	95222641	95222947	+	39.000000	K27m3-2-peaks.txt	1		chr13-162
Merged-chr13-3360677-1	chr13	3360524	3360830	+	36.599998	K27m3-2-peaks.txt	1		chr13-164
Merged-chr13-98572991-1	chr13	98572838	98573144	+	36.599998	K27m3-2-peaks.txt	1		chr13-188
Merged-chr9-79717680-1	chr9	79717527	79717833	+	52.000000	K27m3-2-peaks.txt	1		chr9-59
Merged-chr9-21166053-1	chr9	21165900	21166206	+	52.000000	K27m3-2-peaks.txt	1		chr9-62
Merged-chr9-64020331-1	chr9	64020178	64020484	+	50.799999	K27m3-2-peaks.txt	1		chr9-81
Merged-chr9-65101667-1	chr9	65101514	65101820	+	47.700001	K27m3-2-peaks.txt	1		chr9-86
Merged-chr2-68233695-1	chr2	68233542	68233848	+	8.060000	K27m3-2-peaks.txt	1		chr2-2303
Merged-chr15-101078345-1	chr15	101078192	101078498	+	57.000000	K27m3-2-peaks.txt	1		chr15-104
Merged-chr2-92434953-1	chr2	92434800	92435106	+	9.290000	K27m3-2-peaks.txt	1		chr2-2335
Merged-chr15-89498896-1	chr15	89498743	89499049	+	50.799999	K27m3-2-peaks.txt	1		chr15-129
Merged-chr2-93090639-1	chr2	93090486	93090792	+	8.670000	K27m3-2-peaks.txt	1		chr2-2343
Merged-chr2-103868589-1	chr2	103868436	103868742	+	8.670000	K27m3-2-peaks.txt	1		chr2-2356
Merged-chr15-95528077-1	chr15	95527924	95528230	+	47.099998	K27m3-2-peaks.txt	1		chr15-144
Merged-chr2-105170268-1	chr2	105170115	105170421	+	8.670000	K27m3-2-peaks.txt	1		chr2-2360
Merged-chr2-119156117-1	chr2	119155964	119156270	+	7.440000	K27m3-2-peaks.txt	1		chr2-2373
Merged-chr2-122185301-1	chr2	122185148	122185454	+	8.670000	K27m3-2-peaks.txt	1		chr2-2379
Merged-chr15-102692336-1	chr15	102692183	102692489	+	42.099998	K27m3-2-peaks.txt	1		chr15-171
Merged-chr15-89524871-1	chr15	89524718	89525024	+	40.299999	K27m3-2-peaks.txt	1		chr15-187
Merged-chr15-79110693-1	chr15	79110540	79110846	+	37.200001	K27m3-2-peaks.txt	1		chr15-192
Merged-chr9-96425809-1	chr9	96425656	96425962	+	9.290000	K27m3-2-peaks.txt	1		chr9-1504
Merged-chr9-100544808-1	chr9	100544655	100544961	+	8.060000	K27m3-2-peaks.txt	1		chr9-1511
Merged-chr9-103093169-1	chr9	103093016	103093322	+	9.290000	K27m3-2-peaks.txt	1		chr9-1520
Merged-chr9-106884947-1	chr9	106884794	106885100	+	8.060000	K27m3-2-peaks.txt	1		chr9-1521
Merged-chr5-129585543-1	chr5	129585390	129585696	+	67.500000	K27m3-2-peaks.txt	1		chr5-55
Merged-chr9-107886819-1	chr9	107886666	107886972	+	7.440000	K27m3-2-peaks.txt	1		chr9-1530
Merged-chr9-108855919-1	chr9	108855766	108856072	+	8.670000	K27m3-2-peaks.txt	1		chr9-1535
Merged-chr9-110380188-1	chr9	110380035	110380341	+	8.060000	K27m3-2-peaks.txt	1		chr9-1537
Merged-chr9-111334774-1	chr9	111334621	111334927	+	7.440000	K27m3-2-peaks.txt	1		chr9-1541
Merged-chr9-114025553-1	chr9	114025400	114025706	+	8.060000	K27m3-2-peaks.txt	1		chr9-1544
Merged-chr9-120923539-1	chr9	120923386	120923692	+	7.440000	K27m3-2-peaks.txt	1		chr9-1561
Merged-chr9-121931996-1	chr9	121931843	121932149	+	8.670000	K27m3-2-peaks.txt	1		chr9-1564
Merged-chr5-143288853-1	chr5	143288700	143289006	+	57.000000	K27m3-2-peaks.txt	1		chr5-93
Merged-chr17-46031178-1	chr17	46031025	46031331	+	40.900002	K27m3-2-peaks.txt	1		chr17-115
Merged-chr17-5493839-1	chr17	5493686	5493992	+	39.000000	K27m3-2-peaks.txt	1		chr17-119
Merged-chr9-23205540-1	chr9	23205387	23205693	+	8.670000	K27m3-2-peaks.txt	1		chr9-1582
Merged-chr5-24485796-1	chr5	24485643	24485949	+	9.290000	K27m3-2-peaks.txt	1		chr5-1401
Merged-chr17-35469544-1	chr17	35469391	35469697	+	38.400002	K27m3-2-peaks.txt	1		chr17-121
Merged-chr17-27655133-1	chr17	27654980	27655286	+	37.200001	K27m3-2-peaks.txt	1		chr17-125
Merged-chr17-26202187-1	chr17	26202034	26202340	+	37.799999	K27m3-2-peaks.txt	1		chr17-129
Merged-chr17-3326921-1	chr17	3326768	3327074	+	35.900002	K27m3-2-peaks.txt	1		chr17-136
Merged-chr17-47974834-1	chr17	47974681	47974987	+	35.900002	K27m3-2-peaks.txt	1		chr17-139
Merged-chr5-64627520-1	chr5	64627367	64627673	+	9.290000	K27m3-2-peaks.txt	1		chr5-1423
Merged-chr5-65378410-1	chr5	65378257	65378563	+	9.910000	K27m3-2-peaks.txt	1		chr5-1424
Merged-chr17-35263332-1	chr17	35263179	35263485	+	34.700001	K27m3-2-peaks.txt	1		chr17-143
Merged-chr17-90454945-1	chr17	90454792	90455098	+	34.700001	K27m3-2-peaks.txt	1		chr17-146
Merged-chr17-34000676-1	chr17	34000523	34000829	+	35.299999	K27m3-2-peaks.txt	1		chr17-148
Merged-chr5-73337358-1	chr5	73337205	73337511	+	10.500000	K27m3-2-peaks.txt	1		chr5-1433
Merged-chr5-75834844-1	chr5	75834691	75834997	+	9.910000	K27m3-2-peaks.txt	1		chr5-1436
Merged-chr17-28364340-1	chr17	28364187	28364493	+	32.200001	K27m3-2-peaks.txt	1		chr17-159
Merged-chr5-98292626-1	chr5	98292473	98292779	+	9.910000	K27m3-2-peaks.txt	1		chr5-1441
Merged-chr17-26431165-1	chr17	26431012	26431318	+	31.000000	K27m3-2-peaks.txt	1		chr17-160
Merged-chr5-108459970-1	chr5	108459817	108460123	+	9.290000	K27m3-2-peaks.txt	1		chr5-1447
Merged-chr5-113366590-1	chr5	113366437	113366743	+	8.670000	K27m3-2-peaks.txt	1		chr5-1454
Merged-chr17-34188152-1	chr17	34187999	34188305	+	29.700001	K27m3-2-peaks.txt	1		chr17-174
Merged-chr5-118154559-1	chr5	118154406	118154712	+	8.670000	K27m3-2-peaks.txt	1		chr5-1463
Merged-chr17-25810080-1	chr17	25809927	25810233	+	29.700001	K27m3-2-peaks.txt	1		chr17-183
Merged-chr8-94705405-1	chr8	94705252	94705558	+	8.670000	K27m3-2-peaks.txt	1		chr8-1315
Merged-chr8-95601223-1	chr8	95601070	95601376	+	8.060000	K27m3-2-peaks.txt	1		chr8-1317
Merged-chr17-34969595-1	chr17	34969442	34969748	+	30.400000	K27m3-2-peaks.txt	1		chr17-195
Merged-chr11-120660053-1	chr11	120659900	120660206	+	46.500000	K27m3-2-peaks.txt	1		chr11-221
Merged-chr11-50851018-1	chr11	50850865	50851171	+	48.900002	K27m3-2-peaks.txt	1		chr11-224
Merged-chr5-125180086-1	chr5	125179933	125180239	+	9.910000	K27m3-2-peaks.txt	1		chr5-1487
